"Author","MinRating","MaxRating","MedRating","AvgRating"
"007black",3.32139127831169,3.32139127831169,3.32139127831169,3.32139127831169
"01ferdzc",3.2319790268315,3.2319790268315,3.2319790268315,3.2319790268315
"0dannyphantom0",2.69810054562339,2.98181860717066,2.83995957639703,2.83995957639703
"0nce_Upon_My_Story",2.8992731873176,2.8992731873176,2.8992731873176,2.8992731873176
"0phelianne",2.29225607135648,2.29225607135648,2.29225607135648,2.29225607135648
"1000_Spiders_in_a_Trenchcoat",1.69019608002851,1.69019608002851,1.69019608002851,1.69019608002851
"1000lux",3.10957854690439,3.10957854690439,3.10957854690439,3.10957854690439
"1000thGhost",1.30102999566398,1.30102999566398,1.30102999566398,1.30102999566398
"100indecisions",1.85125834871908,2.80753502806885,2.49510947049236,2.41225307944316
"101places",1.83884909073726,2.9216864754836,2.49484501855003,2.45223489716427
"11paruline44",2.85125834871908,2.85125834871908,2.85125834871908,2.85125834871908
"1337banna",3.2678754193189,3.73575853744374,3.49494790418426,3.49838244128279
"1337wtfomgbby",0.845098040014257,3.02242837118549,2.84010609445676,2.2358775018855
"13ee",2.40312052117582,2.40312052117582,2.40312052117582,2.40312052117582
"13gj6",2.19312459835446,2.19312459835446,2.19312459835446,2.19312459835446
"13th_blackbird",2.93601079571521,3.36361197989214,3.33203427702752,3.22828430166651
"14hpgirl19",3.08350261983027,3.08350261983027,3.08350261983027,3.08350261983027
"157yrs",2.18752072083646,2.18752072083646,2.18752072083646,2.18752072083646
"16mistypaw",2.57978359661681,3.7008767083769,3.14033015249686,3.14033015249686
"1787AmericanRevnerd",1.76342799356294,1.76342799356294,1.76342799356294,1.76342799356294
"17fingertips",3.30427505047713,3.30427505047713,3.30427505047713,3.30427505047713
"17thousand",2.70500795933334,2.70500795933334,2.70500795933334,2.70500795933334
"1863",2.71096311899528,2.71096311899528,2.71096311899528,2.71096311899528
"1917farmgirl",2.79448804665917,2.79448804665917,2.79448804665917,2.79448804665917
"19_smiles",2.30749603791321,2.30749603791321,2.30749603791321,2.30749603791321
"19lams5",2.72098574415374,3.24079877111733,2.98089225763554,2.98089225763554
"1AdiWriter1",1.77085201164214,1.77085201164214,1.77085201164214,1.77085201164214
"1LuckyDetective1",3.22271647114758,3.22271647114758,3.22271647114758,3.22271647114758
"1PB2PB3PB4",3.00346053210951,3.00346053210951,3.00346053210951,3.00346053210951
"1SilentWolfWarrior",2.31175386105575,2.57170883180869,2.42324587393681,2.44028687139236
"1_800_fiction",3.26410915630581,3.31701810104811,3.29056362867696,3.29056362867696
"1_Queen",1.34242268082221,2.985426474083,1.81245030110225,2.05305431869484
"1_ReadDontSleep_1",1.77815125038364,3.20194306340165,2.35121526822276,2.42460480414532
"1cafezinho",3.2964457942064,3.2964457942064,3.2964457942064,3.2964457942064
"1creativeusernameplease",1.83884909073726,3.36436335461573,2.60160622267649,2.60160622267649
"1f_this_be_madness",1.7160033436348,2.67851837904011,2.19726086133746,2.19726086133746
