Work ID,Warnings,Relationships,Characters,Other
45218425,No Archive Warnings Apply,Obi-Wan Kenobi & Anakin Skywalker,"Anakin Skywalker | Darth Vader, Obi-Wan Kenobi","Darth Vader Redemption, Time Travel, Young Obi-Wan Kenobi, Anakin Skywalker is a Disaster, Darth Vader is a Disaster, Older Anakin Skywalker, Older Darth Vader, Jedi Knight Obi-Wan Kenobi, Sith Anakin Skywalker, Tumblr Prompt, Ficlet, crackfic caught feelings, Oops"
45218245,No Archive Warnings Apply,,"Obi-Wan Kenobi, Jango Fett, Jaster Mereel","Jedi on the Run, Mandalorian Empire, Evil Galactic Republic, Jaster Mereel is a Nerd, Jango Fett is kind of an idiot, Obi-Wan Kenobi Needs a Break"
45218077,Major Character Death,Obi-Wan Kenobi & Anakin Skywalker,"Anakin Skywalker, Obi-Wan Kenobi","Dead Sheev Palpatine, Time Travel, time travel doesn't fix it, Anakin Skywalker Has Issues, Anakin Skywalker is a Disaster, Jedi Knight Anakin Skywalker, Padawan Obi-Wan Kenobi, sometimes you can save the dead and still lose them, the inherent tragedy of being nigh all powerful but also fucking incompetent, Anakin Skywalker is the Chosen One, Tumblr Prompt, Ficlet"
45217867,No Archive Warnings Apply,,"Obi-Wan Kenobi, Satine Kryze, Qui-Gon Jinn, Anakin Skywalker, Ahsoka Tano, Padmé Amidala, Bail Organa, Clone Troopers (Star Wars)","Carbonite Freezing (Star Wars), Time Travel, to the future, The Mandalorian Darksaber (Star Wars), kingship by combat, Mandalorian Civil War | Death Watch vs Satine Kryze's New Mandalorians, Tumblr Prompt"
45217669,No Archive Warnings Apply,,"Luke Skywalker, Leia Organa","Padme's Family, Prince Luke Skywalker, Planet Naboo (Star Wars), Naboo Culture and Customs (Star Wars), Naboo Royal Handmaidens (Star Wars), Tumblr Prompt"
45217480,No Archive Warnings Apply,Padmé Amidala/Anakin Skywalker,Padmé Amidala,"Love, Guilt, love being unreasonable and irrational, people being people, people being flawed, Ficlet"
45217417,No Archive Warnings Apply,Amilyn Holdo/Leia Organa,"Amilyn Holdo, Leia Organa","Arguing, Established Relationship, Forced Proximity due to being Trapped Together, Ficlet, Podfic Welcome"
45215236,No Archive Warnings Apply,"CT-7567 | Rex/Ahsoka Tano, CT-7567 | Rex & Ahsoka Tano, Padmé Amidala/Anakin Skywalker","Ahsoka Tano, CT-7567 | Rex, Anakin Skywalker, CT-5597 | Jesse","rexsoka, Fluff, Not Canon Compliant, Alternate Universe - Canon Divergence, order 66 almost happened but didn't, palpatine guilty without trial, they're going to execute him, Rexsoka Monthly, February 2023: Broken Datapad"
45210631,No Archive Warnings Apply,"Ephraim Bridger & Ezra Bridger & Mira Bridger, Ezra Bridger & The Ghost Crew","Ezra Bridger, Sheev Palpatine | Darth Sidious, Ephraim Bridger, Mira Bridger, Ahsoka Tano (mentioned), Kanan Jarrus (mentioned)","Febuwhump, Febuwhump 2023, If you only read one work by me, Read this one!!!, Manipulative Sheev Palpatine, Ezra Bridger Needs a Hug, Force Visions (Star Wars), Star Wars Rebels s04e15-16 Family Reunion and Farewell, Lothal Temple (Star Wars), The World Between Worlds (Star Wars), Canon Compliant"
45209872,No Archive Warnings Apply,CC-2224 | Cody/Obi-Wan Kenobi,"CC-2224 | Cody, Obi-Wan Kenobi, Ghost Company Members (Star Wars: The Clone Wars)","Alternate Universe - Shapeshifters, Otter-Wan - Freeform, Obi-Wan is an otter shape shifter, Mission Fic, Cold Weather, Cold Water, Unpleasant conditions for a mission, Comfort, Cuddles, Hot Cocoa, Ghost loves their Jedi"
45208876,No Archive Warnings Apply,"Luke Skywalker & Darth Vader, Anakin Skywalker & Luke Skywalker, CT-7567 | Rex & Anakin Skywalker","Anakin Skywalker | Darth Vader, Luke Skywalker, CT-7567 | Rex","Father-Son Relationship, Toddler Luke Skywalker, Child Luke Skywalker, Parent Darth Vader, Good Parent Darth Vader, Suitless Darth Vader, Darth Vader Raises Luke Skywalker, Alternate Universe - Canon Divergence, it's not easy being a single dad"
45209098,No Archive Warnings Apply,"Ezra Bridger & Thrawn | Mitth'raw'nuruodo, Karyn Faro & Thrawn | Mitth'raw'nuruodo, Ezra Bridger & The Ghost Crew","Ezra Bridger, Thrawn | Mitth'raw'nuruodo, Karyn Faro, Bail Organa, Breha Organa","Febuwhump, Febuwhump 2023, Ezra Bridger Needs a Hug, Psychological Trauma, The Force, Death Star (Star Wars), Ezra Bridger Does Not Get a Hug"
37810177,Creator Chose Not To Use Archive Warnings,"Din Djarin/Luke Skywalker, Boba Fett/Fennec Shand, Leia Organa/Han Solo","Din Djarin, Luke Skywalker, Ahsoka Tano, Fennec Shand, Boba Fett, Thrawn | Mitth'raw'nuruodo, Eli Vanto, Ezra Bridger, Sabine Wren, Bo-Katan Kryze, Grogu | Baby Yoda, Leia Organa, Han Solo, Chewbacca (Star Wars), Anakin Skywalker, Anakin Skywalker | Darth Vader, Jacen Solo, Jaina Solo, Obi-Wan Kenobi, C-3PO (Star Wars), R2-D2 (Star Wars), Gilad Pellaeon, Cara Dune, Moff Gideon (Star Wars), Winter Celchu","Alpha/Beta/Omega Dynamics, Alpha Din Djarin, Omega Luke, Mating Cycles/In Heat, Scenting, Bottom Luke Skywalker, Top Din Djarin, Fusion of Star Wars Legends and Disney Canon, Book: The Thrawn Trilogy: Heir to the Empire, Space Politics, Arranged Marriage, Possessive Din Djarin, Protective Din Djarin, Leia and Luke being evil, Jealous Din Djarin, Grogu is gonna have baby brothers and sisters WHAT?!, Mpreg, Din and Luke have a ""past"", Din Djarin Needs a Hug, Good Parent Din Djarin, Din isn't a great alpha : (, Luke Skywalker Needs A Hug, Luke just needs some love, Boba fett is Din's wingman, Attempted Kidnapping, Ferus Olin didn't die"
45203428,No Archive Warnings Apply,"Ezra Bridger/Sabine Wren, Space Family (Star Wars Rebels), Ketsu Onyo/Sabine Wren, Sabine Wren & Tristan Wren, Hera Syndulla & Sabine Wren, Ezra Bridger & Kanan Jarrus, Ezra Bridger & Hera Syndulla, Sabine Wren & Ursa Wren, Alrich Wren & Sabine Wren, Ezra Bridger/Tristan Wren, Ahsoka Tano & Sabine Wren","Ezra Bridger, Sabine Wren",
45207040,No Archive Warnings Apply,Padmé Amidala/Anakin Skywalker,"Anakin Skywalker, Anakin Skywalker | Darth Vader, Padmé Amidala, Obi-Wan Kenobi","Angst, some light fluff, mostly due to Anakin being awkward, Character Study, Canon Compliant, No Beta We Die Like Dooku"
45206275,No Archive Warnings Apply,Din Djarin & Grogu | Baby Yoda,"Din Djarin, Grogu | Baby Yoda, Fennec Shand, Bo-Katan Kryze, Koska Reeves, Cara Dune, Luke Skywalker, R2-D2",
45204706,No Archive Warnings Apply,Poe Dameron/Finn,"Poe Dameron, Finn (Star Wars)","Short Story, poetry?, Oranges, sharing food, Fluff"
45204733,"Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply",Poe Dameron/Armitage Hux,"Armitage Hux, Poe Dameron","Fluff and Angst, Past Abuse, Denial of Feelings, Post-Canon, Alternate Universe - Canon Divergence, Armitage Hux Lives, Armitage Hux Has Feelings"
45183541,No Archive Warnings Apply,CC-2224 | Cody/Anakin Skywalker,"Anakin Skywalker, CC-2224 | Cody, Obi-Wan Kenobi (minor)","Female Anakin Skywalker, POV CC-2224 | Cody, Mutual Pining, First Kiss, Love Confessions, Post-Zygerria Arc (Star Wars: Clone Wars), Rako Hardeen Arc (Star Wars: Clone Wars), Post-Episode: s05e20 The Wrong Jedi, Unplanned Pregnancy, Fluff, Romance, Hurt/Comfort, Emotional Hurt/Comfort, Anakin Skywalker Needs a Hug, CC-2224 | Cody Needs a Hug, Protective CC-2224 | Cody, Anakin Skywalker Doesn't Turn to the Dark Side, Eventual Happy Ending, Falling In Love, Fix-It, Mando'a Language (Star Wars), Anakin Skywalker Needs Therapy, Happy Ending"
45183241,No Archive Warnings Apply,"Leia Organa/Han Solo, Rey/Ben Solo | Kylo Ren, Leia Organa & Ben Solo | Kylo Ren, Leia Organa & Rey","Leia Organa, Han Solo, Ben Solo | Kylo Ren, Rey (Star Wars)","Alternate Universe - Modern Setting, POV Leia Organa, Awesome Leia Organa, Leia Organa Needs a Hug, Good Parent Han Solo, Good Parent Leia Organa, Rey is a Palpatine (Star Wars), Good Parents Leia Organa and Han Solo, Fluff, Family, Friendship, Romance, Hurt/Comfort, Happy Ending, Family Reunions"
45204133,Major Character Death,"Obi-Wan Kenobi & Anakin Skywalker, Sheev Palpatine & Anakin Skywalker","Anakin Skywalker, Sheev Palpatine | Darth Sidious, Obi-Wan Kenobi","Hurt Obi-Wan Kenobi, he had a panic attack, because of ani, Sweet boy, Sidious gets rekt, Manipulative Sheev Palpatine, Dead Sheev Palpatine, Protective Anakin Skywalker, Padawan Anakin Skywalker, Anakin Skywalker Loves Obi-Wan Kenobi, Brotherly Love, Young Anakin Skywalker, Obi-Wan Kenobi Needs a Hug, Obi-Wan Kenobi Gets a Hug, Young Obi-Wan Kenobi, Protective Obi-Wan Kenobi, Jedi Knight Obi-Wan Kenobi, Obi-Wan Kenobi is Anakin Skywalker's Parent, Humor, Fluff and Humor, Attempt at Humor, Crack Treated Seriously"
44995417,No Archive Warnings Apply,,"Firmus Piett, Maximilian Veers, Executor | Darth Vader's Star Destroyer, Leia Organa, Luke Skywalker, Anakin Skywalker | Darth Vader, Han Solo, Soontir Fel, R2-D2, Dr. Henley (Wishfulthinking1979's OC) - Character, Chewbacca, Yoda","I only tagged the ones with bigger parts, I'll update the tags if I think of any more, Skippy's List, Mentions of Pregnancy, Mentions of intoxication, and resultant poor thinking, Life day, Valentine's Day, you can do a lot with a Wookiee's hair, References Wishfulthinking1979's work, References RMWrites' work, References KlarionTheWizard's work, References the Beatles, Coruscanti New Year, it is now 3:50 in the morning I'll update tags when I remember what to tag, References the Untitled Goose Game, Prosthetics, Sabacc, References VeggieTales, Mentions of Slavery"
45203485,No Archive Warnings Apply,"Obi-Wan Kenobi & Anakin Skywalker, CC-2224 | Cody & CT-7567 | Rex","CT-7567 | Rex, CC-2224 | Cody, Anakin Skywalker, Obi-Wan Kenobi, Ahsoka Tano, CT-27-5555 | ARC-5555 | Fives, CT-6922 | Dogma","This Is Why We Can't Have Nice Things, Fighting, Crack, anakin gets what's coming to him, somewhat out of character, Tired Obi-Wan Kenobi"
45202975,No Archive Warnings Apply,"Anakin Skywalker - Relationship, Padme Amidala - Relationship, Padmé Amidala/Anakin Skywalker, Clone Wars - Relationship, anidala - Relationship","Anakin Skywalker, Padmé Amidala, Ahsoka Tano",
44343754,No Archive Warnings Apply,Obi-Wan Kenobi/Original Female Character(s),"Obi-Wan Kenobi, Original Sith Character(s)","Romance, Slow Burn, Slow Build, Jedi Master Obi-Wan Kenobi, Revenge of the Sith to A New Hope, Angst, Jedi love story, Sassy Droids (Star Wars), Droids as Human Beings (Star Wars), Battle Droids (Star Wars), Droids (Star Wars), Droid Revolution (Star Wars), droid-human war, Monarchy, Princes & Princesses, Tragic Romance, Jedi Code (Star Wars), Nightsister Magic | Dathomir Magic (Star Wars), Jedi Lineages (Star Wars), Love vs Duty, Mentioned Qui-Gon Jinn, haunted obi-wan, Force Visions (Star Wars), Force Bond (Star Wars), Self-Fulfilling Prophecy, Interplanetary Politics, Political Asylum, Political Marriage, Forced Marriage, planet invasion, Kings & Queens, Drama & Romance, Cyborgs"
45201862,Creator Chose Not To Use Archive Warnings,"Obi-Wan Kenobi & Anakin Skywalker, CC-2224 | Cody & CT-7567 | Rex, CC-2224 | Cody & Obi-Wan Kenobi","Anakin Skywalker, Obi-Wan Kenobi, CT-7567 | Rex, CC-2224 | Cody, Clone Troopers (Star Wars)","Planet Stewjon (Star Wars), Planet Stewjon is Space Scotland, Jedi Culture & Tradition (Star Wars), Jedi as Found Family (Star Wars), Respect for Jedi, Clone Trooper Culture (Star Wars), Clone Trooper & Jedi Relationships (Star Wars), Clone Troopers Speak Mando'a (Star Wars), Clone Troopers as Brothers (Star Wars), War is Terrible, Anakin Skywalker Needs a Hug, Anakin Skywalker Doesn't Turn to the Dark Side, obi-wan kenobi is a good brother, Anakin Skywalker is a Good Brother, CT-7567 | Rex & Anakin Skywalker Friendship, CC-2224 | Cody & CT-7567 | Rex Friendship, Clones mourning, Jedi mourning, They all deserved better, Character Death, Or Is It?, Friendship, Battle Brotherhood, Clones are brothers, Clone Troopers and Jedi as Found Family (Star Wars), This Is Why We Can't Have Nice Things, Death and mentioned Violence, Bad Things Happen to Good People, Not Beta Read- we die like MEN, Additional Warnings In Author's Note, Mildly AU? Maybe?"
45200911,Major Character Death,,"Jango Fett, Dooku | Darth Tyranus, Sheev Palpatine | Darth Sidious","Mand'alor Jango Fett, Protective Jango Fett, Jango Fett Lives, Jango Fett has Issues, Jango Fett Needs a Hug, Mentioned Jaster Mereel, Mentioned Arla Fett, Battle of Galidraan (Star Wars), Post-Battle of Galidraan (Star Wars), Sith Dooku (Star Wars), Dooku Dies (Star Wars), Manipulative Sheev Palpatine, Dead Sheev Palpatine, Hurt/Comfort, Hurt Obi-Wan Kenobi, but now he'll be fine, because..., Dooku and old Palp are dead, yay"
45200884,No Archive Warnings Apply,Wrecker (Star Wars: The Bad Batch)/Reader,"Wrecker (Star Wars: The Bad Batch), Reader","Hurt/Comfort, Gunshot Wounds, Fluff, Medic!Reader"
45200794,No Archive Warnings Apply,"CT-7567 | Rex & Ahsoka Tano, Implied established rexanidala","CT-7567 | Rex, Ahsoka Tano, Obi-Wan Kenobi, Padmé Amidala, Mentioned Anakin Skywalker - Character","Rexanidala is minor but there, because i love them, no beta we die like 99, Fluff and Humor, child of the force anakin, Kinda"
45200212,Creator Chose Not To Use Archive Warnings,"Wrecker (Star Wars: The Bad Batch)/Reader, Wrecker (Star Wars: The Bad Batch) & Reader","Wrecker (Star Wars: The Bad Batch), Reader, You","Fluff, Domestic Fluff, Soft Wrecker (Star Wars: The Bad Batch), Secret Crush, Pining, Feelings, Swooning, Shyness, Wrecker is so adorable, kind soul, Too shy to ask for a date, flustered idiots"
45198895,Creator Chose Not To Use Archive Warnings,"Din Djarin/Reader, Din Djarin/You","Din Djarin, Grogu | Baby Yoda","Battle, Battlefield, Injury, Fights, Hurt, Hurt/Comfort, Reader-Insert, Spaceships, Dialogue, Humor, Fluff, Fluff and Humor, Blasters (Star Wars), Nicknames, Fun, Pain, Unconsciousness, Strangers, First Meetings, no pronouns used, No Spoilers, pedro pascal is our cool slutty daddy, and grogu's, in this fic - Freeform, i haven't tagged in forever, Apologies"
44757052,No Archive Warnings Apply,,"Mace Windu, Shaak Ti, Kit Fisto, Plo Koon, Obi-Wan Kenobi","Fanart, Digital Art, Digital Painting, Alternate Universe, WTF | Winter Temporary Fandom Kombat 2023, Single work, Sith Obi-Wan Kenobi, Sith Mace Windu, sith shaak ti, Sith Plo Koon, Sith Kit Fisto"
45198724,No Archive Warnings Apply,CC-2224 | Cody/Obi-Wan Kenobi,"CC-2224 | Cody, Obi-Wan Kenobi","dirty sheets, Fluff, Established Relationship, Set during Clone Wars, some vague plot, One-Shot, Codywan Sleep Bingo 2023"
45212308,No Archive Warnings Apply,"Hunter & Omega (Star Wars: The Bad Batch), Omega & Tech (Star Wars: The Bad Batch), Omega & Wrecker (Star Wars: The Bad Batch), CT-21-0408 | CT-1409 | Echo & Omega (Star Wars: The Bad Batch), CT-21-0408 | CT-1409 | Echo & CT-7567 | Rex, Clone Force 99 - Relationship, Clone Force 99 | Bad Batch & Omega (Star Wars: The Bad Batch)","Omega (Star Wars: The Bad Batch), Hunter (Star Wars: The Bad Batch), Wrecker (Star Wars: The Bad Batch), Tech (Star Wars: The Bad Batch), CT-21-0408 | CT-1409 | Echo, CT-7567 | Rex","Mentioned Ahsoka Tano, Force-Sensitive Omega (Star Wars: The Bad Batch), Canon Compliant, so far - Freeform, Nightmares, POV Omega (Star Wars: The Bad Batch), Omega Needs a Hug (Star Wars: The Bad Batch), Mando'a Language (Star Wars), Protective Hunter (Star Wars: The Bad Batch), Family, Big Brothers, Parental Hunter (Star Wars: The Bad Batch), One Shot, Post-Episode: s02e08 Truth and Consequences (Star Wars: The Bad Batch), Omega (Star Wars: The Bad Batch) has ADHD, no beta we die like the Jedi"
45206368,No Archive Warnings Apply,"CC-3636| Wolffe & Clones, Plo Koon & CC-3636 | Wolffe, CC-3636 | Wolffe & Original Character(s), CC-3636| Wolffe & Jedi","CC-3636 | Wolffe, Unnamed Jedi, background OC's","Post-Order 66 (Star Wars), Past Character Death, Survivor Guilt, Recovery, Hopeful Ending, Adoption, wolffe centric, Mentioned Plo Koon, Guilt, Finding Something to Live For, Order 66 Aftermath (Star Wars), Character Study, Alternate Universe - Canon Divergence, Plo Koon haunts the narrative, slavery freedom trail, outer rim slave trade"
44314603,No Archive Warnings Apply,Leia Organa/Han Solo,"Han Solo, Leia Organa, Original Child Character(s)","Family, Family Fluff, Cute, Cute Kids, Marriage, Committed Relationship, Humor, Fluff, Fluff and Humor, Domestic Fluff, Domestic, Parenthood, Parent-Child Relationship"
45197425,No Archive Warnings Apply,CC-2224 | Cody/Obi-Wan Kenobi,"CC-2224 | Cody, Obi-Wan Kenobi","Codywan Sleep Bingo 2023, Mild Angst, Hurt/Comfort, kind of"
45196507,No Archive Warnings Apply,"Ezra Bridger & Sabine Wren, Ezra Bridger & Kanan Jarrus, Ezra Bridger & The Ghost Crew","Ezra Bridger, Arihnda Pryce, Kanan Jarrus, Garazeb ""Zeb"" Orrelios, Sabine Wren, Ephraim Bridger (mentioned), Mira Bridger (mentioned), Hera Syndulla","Febuwhump, Febuwhump 2023, Ezra Bridger Needs a Hug, Ezra Bridger Gets a Hug, Hurt Ezra Bridger, Emotional Hurt/Comfort, Emotional/Psychological Abuse, i ship sabezra but this one's platonic yall, Minor Ezra Bridger/Sabine Wren, I Wrote This Instead of Sleeping"
39019281,No Archive Warnings Apply,"CC-2224 | Cody & CT-7567 | Rex, CT-7567 | Rex & CC-3636 | Wolffe, CC-1010 | Fox & CT-7567 | Rex, Jango Fett & CT-7567 | Rex, CT-7567 | Rex & Denal, CC-1004 | Gree & CT-7567 | Rex","CT-7567 | Rex, CC-2224 | Cody, CC-1010 | Fox, CC-1004 | Gree, CC-3636 | Wolffe, Jango Fett, Null-10 | Jaing Skirata, Null-6 | Kom'rk Skirata, Null-7 | Mereel Skirata, Alpha-30 | Sull, Alpha-26 | Maze, Slick (Star Wars), Ko Sai, Denal (Star Wars), Tavo (Star Wars), Alpha-66 (Star Wars), Taun We","Mandalorian Empire (Star Wars), Mandalorians (Star Wars), True Mandalorians (Star Wars), Kaminoans Being Assholes (Star Wars), Kamino is an awful place, Mando'a Language (Star Wars), Mandalorian Culture (Star Wars), Clone Trooper Culture (Star Wars), Clone Troopers Deserve Better (Star Wars), Clone Troopers Speak Mando'a (Star Wars), Mando'a as a secret language, Harm to Children, Child Soldiers, Canon-Typical Violence, No Beta We Die Like Clones, Protective CC-2224 | Cody, Brotherly Love, Off-Screen Kidnapping, CT-7567 | Rex Whump, CT-7567 | Rex is Trying, Clone Trooper Decommissioning (Star Wars), Minor Character Death, Implied/Referenced Character Death, Hurt/Comfort, Misunderstandings"
32666599,Creator Chose Not To Use Archive Warnings,"Obi-Wan Kenobi & Quinlan Vos, Qui-Gon Jinn & Obi-Wan Kenobi, Obi-Wan Kenobi & Luminara Unduli, Bant Eerin & Obi-Wan Kenobi, Obi-Wan Kenobi & Siri Tachi, Bant Eerin & Obi-Wan Kenobi & Garen Muln & Siri Tachi & Luminara Unduli & Quinlan Vos, Dooku & Qui-Gon Jinn, Dooku/Jocasta Nu, Feemor & Obi-Wan Kenobi, Feemor & Xanatos, Feemor & Qui-Gon Jinn","Obi-Wan Kenobi, Quinlan Vos, Qui-Gon Jinn, Bant Eerin, Siri Tachi, Luminara Unduli, Garen Muln, Jocasta Nu, Dooku (Star Wars), Yoda (Star Wars), Xanatos (Star Wars), Bruck Chun, Tholme (Star Wars)","Newspapers, Yoda's Disaster Lineage (Star Wars), Young Obi-Wan Kenobi, Padawan Quinlan Vos, Padawan Obi-Wan Kenobi, Obi-Wan Kenobi Needs a Hug, Good Dooku (Star Wars), journalist Obi-Wan, sneaky padawans"
45192178,No Archive Warnings Apply,CC-2224 | Cody/Obi-Wan Kenobi,"CC-2224 | Cody, Obi-Wan Kenobi","Long-Distance Relationship, Established Relationship, Established CC-2224 | Cody/Obi-Wan Kenobi, Phone Call, Valentine's Day, Valentine's Day Fluff, Some hurt/comfort, Short & Sweet, Alternate Universe - Modern Setting, Time Zones, Year of the OTP, Year of the OTP Prompt Event 2023, codywan - Freeform, Some Mando'a spoken despite being a modern au, Modern AU, Fluff"
44894842,No Archive Warnings Apply,"Anakin Skywalker & Cliegg Lars, Cliegg Lars/Shmi Skywalker, Owen Lars/Beru Whitesun, Anakin Skywalker & Ahsoka Tano, Padmé Amidala/Anakin Skywalker","Anakin Skywalker, Cliegg Lars, Owen Lars, Beru Whitesun, Ahsoka Tano, Padmé Amidala, Shmi Skywalker","Pen Pals, Grief/Mourning, Slavery, Podfic"
45190348,Creator Chose Not To Use Archive Warnings,"Finn/Kylo Ren, Finn/Ben Solo | Kylo Ren, Finn/Ben Solo","Finn (Star Wars), Ben Solo | Kylo Ren, Kylo Ren","Yaoi, Hugs, First Kiss, Boyfriends, Love"
45189109,No Archive Warnings Apply,CT-21-0408 | CT-1409 | Echo/CT-27-5555 | ARC-5555 | Fives,"CT-27-5555 | ARC-5555 | Fives, CT-21-0408 | CT-1409 | Echo, Torrent Company Members (Star Wars: The Clone Wars), Clone Trooper Hardcase (Star Wars), CT-5385 | Tup, CT-5597 | Jesse, CT-6116 | Kix, CT-6922 | Dogma","Fluff, Fluff and Humor, Romantic Fluff, Dancing, Drunk Dancing, I Wrote This Instead of Sleeping, Kissing, Clone troopers can dance fight me forever, The clones finally get to relax for once, They also tease each other mercilessly, kinda sorta slow burn"
45188134,Creator Chose Not To Use Archive Warnings,,"CC-1138 | Bacara, CC-2224 | Cody, CC-3636 | Wolffe, CC-1004 | Gree, CC-1010 | Fox, CC-5052 | Bly, CC-6454 | Ponds, CC-8826 | Neyo, Original Female Character(s)","Everybody Lives, Happy Ending, Macaroni necklaces, mentions of injury, Old Friends"
45186592,No Archive Warnings Apply,"CT-7567 | Rex & Ahsoka Tano, CT-21-0408 | CT-1409 | Echo & CT-27-5555 | ARC-5555 | Fives & Ahsoka Tano, implied, CC-2224 | Cody/Obi-Wan Kenobi","Ahsoka Tano, CT-21-0408 | CT-1409 | Echo, CT-27-5555 | ARC-5555 | Fives, CT-7567 | Rex, CC-2224 | Cody","Fluff, Fluff and Angst, And a little bit of, Crack, crack-adjacent at the very least, Plo Koon is Best Dad, cody is best brother, How Do I Tag, Brotherly Bonding, Betaed we're immortal around these parts"
45112255,Creator Chose Not To Use Archive Warnings,,"Mari Kenobi-Fett, Luke Skywalker, Leia Organa, Mace Windu, Bo-Katan Kryze","Chaos, Child Luke Skywalker, Child Leia Organa, Mace Windu is So Done, Tired Mace Windu, Mace Windu Lives, Yoda's Disaster Lineage (Star Wars), Awesome Leia Organa, Chaotic kids, Meddling Kids, Mari/Luke/Leia are the Disaster Lineage Finest, Death Watch | Kyr'tsad (Star Wars), Mentioned Bo-Katan Kryze, Kenobi Charm at work, Children"
45182989,No Archive Warnings Apply,Kanan Jarrus/Hera Syndulla,"Hera Syndulla, Kanan Jarrus, Ezra Bridger, Sabine Wren, Garazeb ""Zeb"" Orrelios, Ahsoka Tano, Barriss Offee","agent kallus (mentioned) - Freeform, barriss (sort of), Fulcrum, Episode: s01e15 Fire Across the Galaxy, fire across the galaxy rewrite, hera would not leave kanan pls bffr, hera disguises herself as a certain ex jedi, Flirting, So much flirting, inquisitor - Freeform, Star Wars: Rebels Season 1 Spoilers, maybe this will be a series, Kanan Jarrus Loves Hera Syndulla, Hera Syndulla Needs A Hug, Kanan Jarrus Needs a Hug, POV Hera Syndulla, Protective Hera Syndulla, best friends kanan and hera, i love them sm, No Smut, one VERY brief mention of potential SA but it's about four words and not detailed, Hera and Barriss look similar so I make it work"
45184171,No Archive Warnings Apply,,"Nameless Newbie Stormtrooper, Darth Vader, Stormtroopers, Stormtrooper Trainer","Triple Drabble, Treat, Gossip, implied future death, Humor"
45183601,Creator Chose Not To Use Archive Warnings,Sheev Palpatine/Mace Windu,"Sheev Palpatine, Mace Windu","Humor, Alternate Universe, Pre-Star Wars: The Clone Wars, Jedi Culture & Tradition (Star Wars), Jedi Temple (Star Wars), Jedi Training (Star Wars), Padawans (Star Wars), Jedi Younglings (Star Wars)"
45182716,Creator Chose Not To Use Archive Warnings,CT-7567 | Rex & Anakin Skywalker,"CT-7567 | Rex, Anakin Skywalker",
29790756,No Archive Warnings Apply,"Din Djarin & Obi-Wan Kenobi, Din Djarin & Jaster Mereel, Din Djarin/Jaster Mereel, Arla Fett & Jango Fett","Obi-Wan Kenobi, Jango Fett, Din Djarin, Jaster Mereel, Arla Fett","The Mandalorian Darksaber (Star Wars), The Darksaber, Young Obi-Wan Kenobi, Padawan Obi-Wan Kenobi, Fanart, Inspired by Fanfiction, Art, Mandalorian Obi-Wan Kenobi"
45181501,Creator Chose Not To Use Archive Warnings,"CT-21-0408 | CT-1409 | Echo & Hunter (Star Wars: The Bad Batch), CT-21-0408 | CT-1409 | Echo/Hunter (Star Wars: The Bad Batch)","Hunter (Star Wars: The Bad Batch), Omega (Star Wars: The Bad Batch), Wrecker (Star Wars: The Bad Batch), Tech (Star Wars: The Bad Batch), CT-21-0408 | CT-1409 | Echo","Set during the Bad Batch Season 2, Post TBB S2E8, The Empire/ Clone Rebellion Era, desparate thoughts, Jealousy, Hunter's POV, Hunter's inner thoughts/monologue, Who is right and who is wrong?, Family broken, self doubt and self hatred, Not Canon Compliant, Could Be Canon, The Batch is missing Echo, Hunter comes to a decision, Angst, missing a very important person, Clone Troopers Deserve Better (Star Wars), Established Relationship, Fluff, Long distance relationships can be hard"
45180250,"Major Character Death, No Archive Warnings Apply",Din Djarin & Grogu | Baby Yoda,Grogu | Baby Yoda,
45180088,No Archive Warnings Apply,Qui-Gon Jinn & Obi-Wan Kenobi,"Obi-Wan Kenobi, Qui-Gon Jinn, Ali-Alann (Star Wars)","Young Obi-Wan Kenobi, Obi-Wan Kenobi Needs a Hug, Visions, Dreams and Nightmares, Fever Dreams, Sick Character, Sickfic, Qui-Gon Jinn Needs a Hug, Star Wars Legends: Jedi Apprentice Series References"
45179911,No Archive Warnings Apply,"Jaster Mereel/Original Female Character(s), Jaster Mereel/Lessa Eldar (OC), Jaster Mereel & Lessa Eldar (OC) & Jango Fett & Arla Fett","Jango Fett, Jaster Mereel, Lessa Eldar (OC), Arla Fett","Inspired by Roleplay/Roleplay Adaptation, Caffeine Addiction, Indian Rice Order Mishap, Love"
45179605,No Archive Warnings Apply,"Thrawn | Mitth'raw'nuruodo/Reader, Thrawn | Mitth'raw'nuruodo & Reader, Original Male Character/Reader","Thrawn | Mitth'raw'nuruodo, Reader, Original Male Character(s)",Canon-Typical Violence
45179488,No Archive Warnings Apply,No Romantic Relationship(s),"CT-21-0408 | CT-1409 | Echo, Omega (Star Wars: The Bad Batch)","Loth-Cats (Star Wars), Planet Lothal (Star Wars), Tooka Cats (Star Wars), Fluff, Omega on Lothal, no other context whatsoever"
45178504,No Archive Warnings Apply,"CT-7567 | Rex/Ahsoka Tano, CT-7567 | Rex & Ahsoka Tano, CT-7567 | Rex & Anakin Skywalker","CT-7567 | Rex, CT-5597 | Jesse, Wullf Yularen, Anakin Skywalker, CT-0292 | Vaughn, CT-6116 | Kix, CC-1119 | Appo, Punch, Ahsoka Tano","Canon Compliant, or well, very slight canon divergence, But Like Barely Noticeable Because Canon Is A Mess Anyway, Feelings Realization, Reunions, Clones"
