Author,Min_Word_count,Max_Word_count,Avg_Word_count,Min_Paragraph_Count,Max_Paragraph_Count,Avg_Paragraph_Count
AFlockOfBagels,1575,1575,1575.0,1,1,1.0
AGreekDemigod,1293,9604,3202.0,1,2,1.1666666666666667
AHopefulVoice,7091,7091,7091.0,1,1,1.0
AJGhostWolf,22360,22360,22360.0,23,23,23.0
AJ_Writes_Nooks,1589,689,1771.25,1,3,1.5
AJfanfic,1017,954,574.0,1,1,1.0
AKP31E,1330,1330,1330.0,1,1,1.0
AManOfMyth,377,377,377.0,6,6,6.0
AMedina,18767,775,9771.0,1,16,8.5
AMournfulHowlInTheNight,42347,42347,42347.0,12,12,12.0
ANGSWIN,1238,907,1072.5,1,1,1.0
ANNDITORIUM,11653,550,4500.666666666667,1,2,7.333333333333333
ANTchan,2521,6746,3548.6666666666665,1,1,1.0
AO98,17878,596,5242.75,1,4,7.75
APMorin,2882,2882,2882.0,1,1,1.0
APendingThought,1636,846,6359.0,1,11,3.0
APerfectNobody,745,745,745.0,1,1,1.0
APgeeksout,300,835,567.5,1,1,1.0
ARAGAKIGORO,4754,4754,4754.0,5,5,5.0
ARC655,4309,4309,4309.0,3,3,3.0
ASadHermitStory,421,698,575.0,1,1,1.0
ASecretShipper,3626,3626,3626.0,1,1,1.0
ASinglePlotIdea,1094,911,1556.25,1,1,1.0
ASiriusAuthor (OneTrueSirius),2078,2078,2078.0,1,1,1.0
ASongofSixpence,17715,17715,17715.0,2,2,2.0
AStarWarsFan,106,93,1243.2884615384614,1,7,1.9807692307692308
ATMachine (orphan_account),318,318,318.0,1,1,1.0
AWholeSentientHam,2157,2157,2157.0,1,1,1.0
AZNKIM,1593,1593,1593.0,1,1,1.0
AZTX,3335,3335,3335.0,1,1,1.0
A_Canceled_Stamp,1672,417,1044.5,1,1,1.0
A_Cinnamon_Roll,4726,4726,4726.0,3,3,3.0
A_Horse_Called_Hwin,1787,1787,1787.0,1,1,1.0
A_Lover_of_Nature,49787,49787,49787.0,11,11,11.0
A_Manda_Lorian,1654,1654,1654.0,1,1,1.0
A_Nobelmonster,1023,1023,1023.0,1,1,1.0
A_Phoenix_Inferno_K20,1831,2198,2053.5,1,1,1.0
A_Pilgrim_In_Zion,1094,1094,1094.0,1,1,1.0
A_Random_Pillow (orphan_account),7223,7223,7223.0,8,8,8.0
A_Roadside_Attraction,1304,383,843.5,1,2,1.5
A_Shieldmaiden_of_Rohan,10266,9014,7611.0,1,2,1.1428571428571428
A_Side_of_Curly_Fries,4562,4562,4562.0,7,7,7.0
A_Smiling_Face,3400,3400,3400.0,1,1,1.0
A_Spark_Of_Hope,1162,5079,2937.0,1,1,1.0
A_Starry_Night,650,895,735.3333333333334,1,1,1.0
A_Stranded_Grand_Admiral,2070,2070,2070.0,3,3,3.0
A_Touch_Of_Insanity,1266,1419,1342.5,1,1,1.0
A_Undomiel,1430,3542,2222.75,1,1,1.0
A_Voice_in_the_Desert,1355,1476,1415.5,1,1,1.0
A_beautiful_lie,24,24,24.0,1,1,1.0
A_chinchilla_with_lightsaber,369,369,369.0,1,1,1.0
A_dork,535,535,535.0,2,2,2.0
A_fallen_prince_A_worthy_hero,1196,1196,1196.0,2,2,2.0
A_fangirl_alone,688,688,688.0,1,1,1.0
A_fluffer_nutter,1187,954,1054.75,1,1,1.0
A_little_wizard_lad,1651,1651,1651.0,1,1,1.0
Aariel,100,586,423.2,1,1,1.0
Aaron2Bu,3127,3127,3127.0,1,1,1.0
Aaronantium,0,0,0.0,1,1,1.0
Aaveena,3082,4120,3601.0,1,3,2.0
AayHan,122,500,311.0,1,1,1.0
AayalaMaro,2171,2171,2171.0,1,1,1.0
Abacura,1878,2134,2006.0,1,2,1.5
AbandonShip,103,450,201.25,1,1,1.0
Abboh,1435,846,1403.0,1,5,1.4444444444444444
AbbyGel,738,738,738.0,1,1,1.0
AbbyNormal831,1331,1331,1331.0,1,1,1.0
Abenteuerfrosch,606,606,606.0,1,1,1.0
AberrantRen,4624,4624,4624.0,2,2,2.0
Abhorsen44,1479,1691,1585.0,1,2,1.5
Abidos,2006,2006,2006.0,1,1,1.0
Abinaryboi,1733,859,952.5,1,3,1.5
AbnormalMind777,1097,570,833.5,1,1,1.0
Abnormal_Cleric,653,778,715.5,1,1,1.0
AbrilOpal,929,929,929.0,1,1,1.0
Absolute Toilet (VisceraNight),0,0,0.0,3,3,3.0
AbsoluteCreed,1599,5995,2876.6666666666665,1,4,1.5
AbstractionDesolation,1522,2682,1958.6666666666667,1,1,1.0
AcademiaCrypt,1018,4700,2300.3333333333335,1,1,1.0
Acastus,5287,5287,5287.0,1,1,1.0
AcatnamedPhil,679,734,706.5,1,1,1.0
Account_Created,1631,95,1371.3333333333333,1,3,1.6666666666666667
Acct,197,83,208.625,1,4,1.5
Ace Raven of Clan Chaos (Music_is_life_2788),593,593,593.0,1,1,1.0
Ace20tsf,5967,5967,5967.0,5,5,5.0
AceQueenKing,1018,859,2124.705882352941,1,4,1.1764705882352942
Ace_Beef,3165,3165,3165.0,1,1,1.0
Ace_Evergreen,173,2804,1256.8333333333333,1,1,1.0
Ace_of_Stars,1189,3109,2149.0,1,4,2.5
Ace_sama,11580,9829,15262.0,15,5,8.0
