purplefangirl42,nanOriginal Clone Character(s),Original Characters,Howzer (Star Wars)Found Family
LibraryMage,Ezra Bridger & Kanan JarrusEzra Bridger,Kanan JarrusAlternate Universe,Order 66 Didn't Happen (Star Wars)
StarcruiserScribe,Gaya & Ouanii (Star Wars),Raithe Kole & Ouanii (Star Wars)Ouanii (Star Wars),Raithe Kole
DaughterofHalt,CT-7567 ,Rex/Original Jedi Character(s)Captain Rex (Clone Wars),Original Jedi Character(s) (Star Wars)
purple_ant,Sifo-Dyas (Star Wars),Dooku/Sifo-Dyas (Star Wars)Dooku (Star Wars),Original CharactersOne Shot
writer_rach,Hunter (Star Wars: The Bad Batch)/Reader,Hunter (Star Wars: The Bad Batch)/Original Female Character(s)Hunter (Star Wars: The Bad Batch),Omega (Star Wars: The Bad Batch)
geodax,Obi-Wan Kenobi/Bail OrganaObi-Wan Kenobi,Bail OrganaFluff,Qui-Gon Jinn & Obi-Wan KenobiObi-Wan Kenobi
Pulchra_somnium,CC-2224 ,Cody,Boba Fett
madame_alexandra,Leia Organa/Han SoloHan Solo,Leia Organa,Parenthood
slenderboo,CT-9904 ,Crosshair & Omega (Star Wars: The Bad Batch)Crosshair (Star Wars: The Bad Batch),Omega (Star Wars: The Bad Batch)Fluff
AnidalaDefender,Padmé Amidala/Anakin SkywalkerPadmé Amidala,Anakin SkywalkerLove,Fluff
Lailuva,Baby Yoda,Grogu ,Female Bounty Hunter/Torian Cadera
TheHighRepublicBrainrot,Cohmac Vitus,I'm Bad At Tagging,english isn't my mother tounge so go easy on me regarding grammar and stuff
SilverDaye,Anakin Skywalker ,Darth Vader,Luke Skywalker & Darth Vader
wildimaginingsofhalfbakedideas,Time Travel Fix-It,Age Regression/De-Aging,The Force Loves Obi-Wan Kenobi
gffa,nanObi-Wan Kenobi,Yoda (Star Wars),Qui-Gon Jinn
mir2099,Orrelios,Alexsandr Kallus,C1-10P 
Majure,Canderous Ordo/RevanCanderous Ordo,Revan (Star Wars)Revan uses they/them,revan isnt dark necessarily but they are on some lowkey freak shit
cofax,nanLuke Skywalker,Ahsoka Tano,Leia Organa
ItDoesntmatt3r,Din Djarin & Paz VizslaGrogu ,Baby Yoda,Din Djarin
LucienAn,Obi-Wan Kenobi/Anakin Skywalker,Padmé Amidala/SabénanDivorce,they hate each other
alex_tyler,Obi-Wan Kenobi/SabéObi-Wan Kenobi,Sabé (Star Wars),Darth VaderReminiscing
tessiete,Qui-Gon Jinn & Obi-Wan Kenobi,Obi-Wan Kenobi & Korkie Kryze,Qui-Gon Jinn & Korkie Kryze
July_Fork,Leia Organa & Luke Skywalker,Leia Organa & Darth VaderLuke Skywalker,Leia Organa
fnlrpa,in star wars,No Gundams,Action/Adventure
The_RavenclawJedi,Luke Skywalker & Darth VaderAnakin Skywalker ,Darth Vader,Luke Skywalker
1f_this_be_madness,Qui-Gon Jinn & Obi-Wan Kenobi,Obi-Wan Kenobi & Anakin Skywalker,Obi-Wan Kenobi & Luke Skywalker
KateMaxwell,nannanShort Chapters,Alternate Universe - Canon Divergence,Other Additional Tags to Be Added
GalaxyDragon101,Ben Skywalker (Star Wars Legends) & Luke Skywalker,Mara Jade & Ben Skywalker (Star Wars Legends),Obi-Wan Kenobi & Ben Skywalker (Star Wars Legends)
Vode_an_Thrawn,Sheev Palpatine ,Anakin Skywalker & Mace Windu,Alphonse Elric & Edward Elric
Catznetsov,nanOmega (Star Wars: The Bad Batch),CT-21-0408 ,CT-1409 
DragonflyonBreak,Luke Skywalker & Darth VaderLuke Skywalker,Anakin Skywalker ,Hurt/Comfort
WillDreamer,nannanDogfight - Freeform,Space Battles,Family
Rosewolf24,CT-1409 ,Clone Force 99 ,CT-21-0408 
EmperorNorton150,Wilhuff Tarkin & Darth Vader,Sheev Palpatine & Wilhuff Tarkin,Wilhuff Tarkin & Leia OrganaWilhuff Tarkin
WTF Kylux and Co 2023 (Our_Own_Star_Wars),WTF Kombat 2023,Fanart,Digital Art
djarinheart,CT-1409 ,CT-21-0408 ,Echo/Reader
iammyownsaviour (ant1hero),Fluffuary ,Tumblr Prompt,Femslash February
Siderea,Obi-Wan Kenobi & Anakin SkywalkerObi-Wan KenobiFebuwhump 2023,Post-Rako Hardeen Arc (Star Wars: Clone Wars),Obi-Wan Kenobi/Jaster MereelObi-Wan Kenobi
Anna_Voralberg,WTF All Space 2023,WTF Kombat 2023,Don't copy to another site
Firecadet,Anakin Skywalker & Ahsoka Tano,Padmé Amidala/Anakin Skywalker,Obi-Wan Kenobi & Anakin Skywalker & Ahsoka Tano
goldleaf1066,CC-2224 ,Cody/Obi-Wan KenobiCC-2224 ,Cody
WTF DinCobb 2023 (WTF_DinCobb_2023),WTF ,Fanart,Digital Art
Blue_Sunshine,Tumblr Prompt,Ficlet,Obi-Wan Kenobi
WTF Galactic Empire 2023 (Team_Galactic_Empire),WTF ,Winter Temporary Fandom Kombat 2023,nanAnakin Skywalker 
Shadowmatic,CC-2224 ,Cody,Cody/Obi-Wan KenobiCC-2224 
batz_in_blue,CC-2224 ,Cody/Obi-Wan KenobiCC-2224 ,Cody
thirties (CharlesAndCo),Anakin Skywalker,Qui-Gon Jinn,Alternate Universe - Canon Divergence
velonica07,Armitage Hux/Kylo RenBilly Johnson (Run TV 2020),Charlie BarberCrossovers & Fandom Fusions
TheAngstHaze (CelestialPaperHaze),Syril Karn & Dedra Meero,Syril Karn/Dedra MeeroSyril Karn,Dedra Meero
loreall,Kylo Ren,Rey/Ben Solo ,Alternate Universe - Modern Setting
aconglish,nanCC-2224 ,Cody,Clone Trooper Jester (Star Wars)
romanticinpanic,Leia Organa & Anakin Skywalker,Leia Organa & Darth Vader,Padmé Amidala & Leia Organa
QueenVixen,Rey/Ben Solo ,Kylo RenBen Solo,Finn (Star Wars)
IsolatedPhenomenon,Obi-Wan Kenobi & Anakin Skywalker,Obi-Wan Kenobi & Shmi Skywalker,Obi-Wan Kenobi & Anakin Skywalker & Shmi SkywalkerObi-Wan Kenobi
Toska (toskaache),Rey/Ben Solo ,Kylo Ren,Rey/Ben Solo
Rain_cloudsx,Angst,Ezra Bridger Needs a Hug,Ficlet
Ko_te,Ahsoka Tano,Luke Skywalker & Original Character(s),Din Djarin/Luke Skywalker
Garce,Din Djarin/Luke SkywalkerLuke Skywalker,Grogu ,Baby Yoda
honeydjarin,ARC-5555 ,CT-27-5555 ,CT-7567 
jacqueen,Din Djarin/ReaderDin Djarin,ReaderFemale Reader,Reader-Insert
wanderingjedihistorian (RangerJedi67),CC-2224 ,Cody,Obi-Wan Kenobi
Siriusblackisgreat,nanYoung Boba Fett - Character,Boba Fett,Kal Skirata
WTF Moon Knight 2023 (Marvel_Fandom),nanPoe Dameron,Finn (Star Wars),Leia Organa
ACKenobi11,CC-2224 ,Cody,Protective Obi-Wan Kenobi
Binny_chicken,How Do I Tag,nanCoruscant Guard Trooper Hound (Star Wars),CC-1010 
little_dumpling,nanObi-Wan Kenobi,Original Child Character(s)Digital Art,Big Bang Art
Multifiiction,Din Djarin/Reader,Din Djarin/You,Din Djarin & Reader
LoveHurts,Tay Kolma,Mon Mothma,Perrin Fertha
Legogirl22,CC-2224 ,Cody,Cody/Obi-Wan KenobiCC-2224 
Cerulean_Phoenix7,Implied Mon Mothma/Tay KolmaMon Mothma,Perrin Fertha,Tay Kolma (mentioned)Drama
Lord_Adrian_Richter,MonsterVerse),Barnes,Steve Rogers
Obscure Fanfiction Series (RichardGraysonPercyJackson),Leia Organa & Luke Skywalker,Leia Organa & Han Solo,Leia Organa & R2-D2
Wonder_xoxo,CT-7567 ,Rex,Fluff
outpastthemoat,Qui-Gon Jinn/Tahl (Star Wars),Padmé Amidala/Obi-Wan Kenobi,Katara/Zuko (Avatar)
craziest_in_the_guild,CT-7567 ,Rex/Ahsoka TanoCT-7567 ,Rex
beantown,Kylo Ren/ReyKylo Ren,Rey (Star Wars)Translation,I've only been studying Old English for two months so bare with me
stuffilikeiwrite,Darth Vader,CT-7567 ,Ahsoka Tano & Darth Vader
String_of_Silka,CT-7567 ,Rex/Ahsoka TanoCT-7567 ,Rex
eloquentmoon,Darth Maul/Reader,Darth Maul & ReaderDarth MaulNon-Sexual Intimacy,soft
immolationfox,Poe Dameron/Original Character(s),Poe Dameron & Original Child Character(s)Poe Dameron,Original Characters
evergreen_fields,nanFemale Smuggler (Star Wars),Various Background CharactersCanon-Typical Violence,POV Third Person
eyelessfaces,Poe Dameron/ReaderPoe Dameron,ReaderAlcohol,Implied/Referenced Cheating
AshesGleamandGlow,nanObi-Wan Kenobi,Ahsoka Tano,CT-7567 
WesternWitch,nanObi-Wan Kenobi,Anakin Skywalker,Padmé Amidala
starkskypines,CT-7567 ,Leia Organa,Tala Durith & Obi-Wan Kenobi
logarhythms,CT-1409 ,Crosshair & Omega (Star Wars: The Bad Batch),Clone Force 99 
DiplomaticPrincess,Leia Organa/Han Solo,Pre-Star Wars: The Empire Strikes Back,Planet Hoth (Star Wars)
RosePointe,Clone Force 99 ,Bad Batch & Domino Squad,Cutup & Droidbait & Echo & Fives & Hevy (Star Wars)
AulaCicero,Obi-Wan Kenobi & Anakin Skywalker,Obi-Wan Kenobi & Luke SkywalkerObi-Wan Kenobi,Anakin Skywalker
hexedmaiden,Din Djarin/Cobb VanthDin Djarin,Cobb VanthAlternate Universe - Modern Setting,Established Relationship
Cloudylads65,Cody,CC-2224 ,No Romantic Relationship(s)
CT7509,Din Djarin & ReaderDin Djarin,Gender Neutral Reader - Character,Grogu
kaydear (Illyria_Lives),Brother-Sister Relationships,Sibling Bonding,Omega & Tech (Star Wars: The Bad Batch)Omega (Star Wars: The Bad Batch)
cyberdrew (bottledthirium),CT-9904 ,Crosshair/Reader,Crosshair/Jedi CharactersCrosshair (Star Wars: The Bad Batch)
AmericanLeader1776,nannannan
Audrina1125,CT-21-0408 ,CT-1409 ,CT-9904 
agoldengalaxy,Omega & Tech (Star Wars: The Bad Batch),Hunter & Tech (Star Wars: The Bad Batch)Tech (Star Wars: The Bad Batch),Hunter (Star Wars: The Bad Batch)
TripMcNeill,nanCC-2224 ,Cody,Obi-Wan Kenobi
DeusExValerate,Rooper Nitani & Silandra ShoRooper Nitani,Silandra Sho,Maliq (Star Wars)
SWNeedsMoreJoy,nanPlo Koon,Original Jedi Character(s) (Star Wars)Fluff,Cute
Axolotl_Supremacy,OrreliosFluff,Married Kanan Jarrus/Hera Syndulla,Space Family (Star Wars: Rebels)
Drabbles_Of_Writing,Luke Skywalker & Ahsoka Tano,Cere Junda & Cal Kestis,Luke Skywalker & Quinlan Vos
Sharkeys_Dume,Hera Syndulla,Kanan Jarrus/Hera SyndullaKanan Jarrus,Ahsoka TanoPre-Star Wars: Rebels
Roselightfairy,Qui-Gon Jinn/Obi-Wan Kenobi,Qui-Gon Jinn & Obi-Wan KenobiObi-Wan Kenobi,Qui-Gon JinnTeacher-Student Relationship
codgamerdude01,nanElayna Corvet,Jaycob Flesio,Layne Cilton
Vatukka,Clone Trooper Boil/Clone Trooper Waxer (Star Wars)Clone Trooper Boil (Star Wars),Clone Trooper Waxer (Star Wars)First Kiss,Getting Together
Gilbird14,Din Djarin/Cobb VanthDin Djarin,Cobb Vanth,Grogu 
EAVanGeek,nannanMandalorian Culture (Star Wars),Mandalorians (Star Wars)
meg_writes_fic,nanCT-6116 ,Kix,Bore (Soft Wars)
Zoa,Rey/Ben Solo ,Kylo Ren,Rey/Ben SoloRey (Star Wars)
Casta_Y (Casta_X),Leia Organa/Han SoloLeia OrganaDivorce
Upsetapplecart,CC-2224 ,Cody & Obi-Wan KenobiObi-Wan Kenobi,Cody
Melli3256,Obi-Wan Kenobi/Anakin SkywalkerObi-Wan Kenobi,Anakin SkywalkerEmotional Hurt/Comfort,Hurt Obi-Wan Kenobi
DEaTh220467,Obi-Wan Kenobi/Satine Kryze,Obi-Wan Kenobi & Anakin Skywalker,Korkie Kryze & Satine Kryze
Marbled Polecat (MarbledPolecat),Clone Trooper Boil/Clone Trooper Waxer (Star Wars)Clone Trooper Waxer (Star Wars),Clone Trooper Boil (Star Wars)Fanart,Art
punkascas (earlwyn),CC-2224 ,Cody/Obi-Wan KenobiCC-2224 ,Cody
celinamarniss,Din Djarin/Mara Jade/Luke Skywalker,Din Djarin/Luke Skywalker,Din Djarin/Mara Jade
shadowsong26,Padmé Amidalanan,Padmé Amidala/Obi-Wan Kenobi/Anakin SkywalkerAnakin Skywalker,Obi-Wan Kenobi
Sagemaster,nanChakotay (Star Trek),Tom Paris,B'Elanna Torres
Robinz,Orrelios,Workaholic Alexsandr Kallus,Fluff
beeepis,nanDin Djarin,Satine Kryze,Bo-Katan Kryze
Spitbruise,Boba Fett & Original Child Character(s)Boba Fett,Original Characters,Twi'lek Characters (Star Wars)
therottingdeviance,Din Djarin/Luke SkywalkerDin Djarin,Luke Skywalker,Grogu 
flightofwonder,Din Djarin & Grogu ,Grogu ,Baby YodaDin Djarin
Beavisworld,Obi-Wan Kenobi & Anakin Skywalker,Padmé Amidala/Anakin SkywalkerObi-Wan Kenobi,Anakin Skywalker
Willofhounds,The Jedi Exile/KavarVrook Lamar,Kavar (Star Wars),Female Revan (Star Wars)
mistbornhero,Podfic,Leia Organa/Han Solo,Leia Organa/Luke Skywalker
TroutSpots,ARC-5513 ,Locks/Urudyk Sa'azaARC-5513 ,Locks
ADGAEA,Orrelios,Kanan Jarrus,Restraints
illiterate,Reader-Insert,Originally Posted on Tumblr,Not Proofread
CallMe_XO,CT-1409 ,Crosshair & CT-21-0408 ,Echo & Hunter & Omega & Tech & Wrecker (Star Wars: The Bad Batch)
ladyofnightmaresandheartache,Mandalorian & The Asset,Mandalorian & Baby Yoda,Din Djarin & The Asset
Arnis,Dooku (Star Wars)/Original Female Character(s),Dooku & Qui-Gon Jinn,Dooku & Sifo-Dyas (Star Wars)
Coruscant_Senate_Building,CC-1010 ,Fox,CC-2224 
AndrogyneBard,Ponds,CC-2224 ,Plo Koon/Mace Windu/CC-6454 
kbirb,Fluffuary ,Fluffy February 2023,Fluff
idrilhadhafang,Ben Solo ,Fluff,Solo Family Feelings (Star Wars)
GoLBPodfics (GodOfLaundryBaskets),Podfic,Obi-Wan Kenobi/Owen Lars/Beru WhitesunObi-Wan Kenobi,Beru Whitesun
Peppermint_Shamrock,nanSheev Palpatine ,Darth Sidious,Anakin Skywalker 
empstrikesback,Flashbacks,Leia Organa/Han SoloLeia Organa,Han Solo
Wolf55cold15,Obi-Wan Kenobi/Anakin SkywalkerObi-Wan Kenobi,Anakin Skywalker,Mace Windu
Casta_X,Rand (one sided),Bao-Dur & The Jedi Exile,The Jedi Exile & KreiaBrianna 
TheIkariWarrior1,nanMonkey D. Luffy,Michael Morbius,Roronoa Zoro
mytimeconsumingsidehobby,nanObi-Wan Kenobi,Quinlan Vos,Bant Eerin
AberrantRen,Rey/Ben Solo,Rey/Ben Solo ,Kylo RenBen Solo
ImachildofApolloEverLarkSnickettTriangle,Kanan Jarrus/Hera SyndullaHera Syndulla,Kanan Jarrus,C1-10P 
Dr_Roslin,Kylo Ren,Rey/Ben Solo ,Rey & Rose Tico
AnnAntilles,Obi-Wan/Heliana RauObi-Wan Kenobi,Heliana RauAU,Original Character(s)
CleverMird,nanFemale Jedi Consular ,Barsen'thor,Syo Bakarn
QuickSilverFox3,Pre-Relationship,Din Djarin/Boba FettDin Djarin,BobaDin AU Bingo
InsertSthMeaningful,Cassian Andor/Brasso the Ferrixian,Cassian Andor & Brasso the FerrixianBrasso the Ferrixian (Star Wars),Cassian AndorPre-Canon
Qulrik,CT-7567 ,CC-2224 ,Darth Vader
fandumbug,Wrecker (Star Wars: The Bad Batch)/Reader,Din Djarin/ReaderWrecker (Star Wars: The Bad Batch),Din DjarinFluff
MCU_Supersoldiers_Etc,CC-2224 ,Cody/Obi-Wan KenobiCC-2224 ,Cody
iveneverbeentothestars,nanClone Troopers (Star Wars),CC-1010 ,Fox
AutumnWoodsDreamer,Friendship,Hurt/Comfort,nanDin Djarin
CactusLoverPDX,Hunter & Omega (Star Wars: The Bad Batch)Hunter (Star Wars: The Bad Batch),Omega (Star Wars: The Bad Batch)Valentine's Day,Qui-Gon Jinn & Obi-Wan Kenobi
Ramona_Flours,Din Djarin/ReaderDin Djarin,You,ReaderFluff
thtdrm,Kylo Ren,Rey/Ben Solo ,Rey/Ben Solo
MommyMayI,Padmé Amidala/Anakin Skywalker,Sheev Palpatine & Anakin SkywalkerAnakin Skywalker,Padmé Amidala
too_obsessed_with_everything,CC-2224 ,Obi-Wan Kenobi & Anakin Skywalker,Obi-Wan Kenobi & Anakin Skywalker & Ahsoka Tano
Xie_Ice,nanKyber Chrystal,POV Original Female Character,Found Family
darknesssfriend0,Ellie & Joel (The Last of Us),James & JoelPedro Pascal,Joel (The Last of Us)
korechthonia,Podfic,Cody,Padmé Amidala/Jango Fett/Obi-Wan Kenobi
marilaw,nanAinyam Durn,Bail Organa,Head Advisor Rolla Truen
Seasider,Luke Skywalker,Darth Vader,CT-7567 
tyoushiro,Qui-Gon Jinn & Obi-Wan KenobiObi-Wan Kenobi,Qui-Gon Jinn,Xanatos (Star Wars)colorblind!ForceSensitives
SariahRomero,Orrelios,C1-10P ,ChopperViajes en el tiempo
ineedausername1829,Padmé Amidala/Anakin SkywalkerLeia Organa,Luke Skywalker,Jobal Naberrie
ShawnArms,Obi-Wan Kenobi/Anakin Skywalker,Obi-Wan Kenobi & Anakin SkywalkerAnakin Skywalker,Obi-Wan KenobiCanon Divergence - Star Wars: Attack of the Clones
SerGate,Jango Fett & Jaster Mereel,Jango Fett & Original Character(s),Boba Fett & Jango FettJango Fett
Spencersomega,CC-2224 ,Cody/Obi-Wan KenobiObi-Wan Kenobi,Cody
silveryink,CC-2224 ,Cody,Boga the Varactyl & CC-2224 
Ruuger,Din Djarin & Grogu ,Baby YodaDin Djarin,Grogu 
hinder (heilige_bos),Baby Yoda,Grogu ,Din Djarin & Grogu 
Guinevak,Din Djarin & Grogu ,Baby YodaDin Djarin,Grogu 
BubbleBakerPenguinPie,Cassian Andor's Sister,Cassian Andor & Kerri ,Cassian Andor/Jyn ErsoKerri 
ghostmist,CT-1409 ,CT-21-0408 ,Alternate Universe - Modern Setting
Aphantomfool,nanAnakin Skywalker,Obi-Wan KenobiAnakin Skywalker Needs a Hug,Anakin Skywalker Has Issues
DottieSnark_DrabbleNights (DottieSnark),Kylo Ren,Rey & Ben Solo ,Rey/Ben Solo 
Chausie,Kylo Ren,Essays,Tumblr Prompt
blabbyshark,Leia Organa/Han SolonanSlice of Life,Fluff,Domestic
Sees_writes,CT-5597 ,CT-7567 ,Jesse & Ahsoka Tano
thereturnofthecat,Kylo Ren,Rey/Ben Solo ,Rey & Ben Solo 
countessofbiscuit,CC-1010 ,Riyo Chuchi/CC-1010 ,FoxRiyo Chuchi
Zearay,Din Djarin/Luke SkywalkerLuke Skywalker,Din Djarin,Grogu 
Northland,Din Djarin & Grogu ,Baby YodaDin Djarin,Grogu 
hulkling616,Drabble,Poe Dameron & Leia OrganaPoe Dameron,Leia OrganaPOV Poe Dameron
incognitajones,Maarva Andor & Cassian AndorCassian Andor,Maarva AndorPlanet Ferrix (Star Wars),The Daughters of Ferrix (Star Wars)
TheRealJeanGenie,Kylo Ren,Young Ben Solo,Rey/Ben Solo 
CollisionTheory,nanEli VantoPOV First Person,Alternate Universe - Canon Divergence,Star Wars Galactic Empire Era
ExtraPenguin,nanFemale Jedi Consular ,Barsen'thorFanvids,Anakin Skywalker & Mace WinduMace Windu
facassie,Din Djarin & Grogu ,Baby Yoda,Din Djarin/Luke Skywalker
cchascona,Cassian Andor & Ruescott Melshi,Cassian Andor/Jyn Erso,Jyn Erso & Ruescott MelshinanAlternate Universe - Everyone Lives/Nobody Dies
Its_Jaz_Music_Writing,Brill,CC-6037 ,Dayne Na'Haren & On'Era Baize
CCA03,Obi-Wan Kenobi & Anakin Skywalker,Obi-Wan Kenobi & Anakin Skywalker & Ahsoka TanoAnakin Skywalker,Obi-Wan Kenobi
Robyn_Runestone,Cere Junda & Cal Kestis,Cal Kestis & The Mantis CrewCal Kestis,BD-1 (Star Wars)
Longlivetheclones (SavetheClones),CC-2224 ,Cody & Obi-Wan KenobiCaptain Rex,Clone Trooper Medic Characters (Star Wars)
JeezusBeezus (BeezusLovesPorgs),Kylo Ren,Rey/Ben Solo ,Rey/Kylo Ren/Ben Solo
EricaHouse,nanCrosshair (Star Wars: The Bad Batch),Hunter (Star Wars: The Bad Batch)Fanart,Art
dutchy0412,Ezra Bridger/Sabine WrenEzra Bridger,Hera Syndulla,Sabine WrenFriends to Lovers
Annabelle3606,Sheev Palpatine ,Padmé Amidala/Anakin Skywalker,Obi-Wan Kenobi & Anakin Skywalker
JediMasterBailey,Obi-Wan Kenobi/Luminara UnduliObi-Wan Kenobi,Luminara Undulinan
stiltsrosko,Febuwhump 2023,Ezra Bridger Needs a Hug,Orrelios
Have_a_great_day_please,CT-27-5555 ,ARC-5555 ,Anakin Skywalker & Ahsoka Tano
keepyourbadvibesoutofmycornflakes,Padmé Amidala/Anakin SkywalkerPadmé Amidala,Anakin Skywalkeranidala week 2023,Day 4
S_C_G,CC-2224 ,Cody,Obi-Wan Kenobi
val_aquenta,Obi-Wan Kenobi & Original Character(s),Depa Billaba & Mace Windu,Obi-Wan Kenobi & Anakin Skywalker
FawnFiction_Ao3,Alek ,Darth Malak & Revan,HK-47 & Revan (Star Wars)Revan (Star Wars)
Nation_Ustria,CC-1010 ,Cal Kestis & Ahsoka Tano,BD-1 & Cal Kestis
flying_kanery,Kanan Jarrus/Hera Syndulla,Kanan Jarrus & Hera SyndullaKanan Jarrus,Kanan Jarrus Loves Hera Syndulla
TylrLoki,Luke Skywalker & Darth VaderLuke Skywalker,Anakin Skywalker ,Darth Vader
Serial,CT-21-0408 ,CT-1409 ,Hunter & Omega (Star Wars: The Bad Batch)
SolarisCrescent,Luke Skywalker/Original Character(s)Luke Skywalker,Original Jedi Character(s) (Star Wars),Esril VakalHealing from Trauma
CT_62585,nanOriginal Characters,Original Mandalorian Characters (Star Wars)nan
pixie_rings,Din Djarin/Luke SkywalkerDin Djarin,Luke Skywalker,Grogu 
badbatchstan,Hunter & Omega (Star Wars: The Bad Batch),Omega & Tech (Star Wars: The Bad Batch),Hunter & Omega & Tech & Wrecker (Star Wars: The Bad Batch)Hunter (Star Wars: The Bad Batch)
random_writer_101,Boba Fett/Cal Kestis,Merrin/Trilla Suduri ,Second SisterCal Kestis
Tomoe_Akatsuki,Cassian Andor & Jyn Erso,Cassian Andor & Luthen RaelCassian Andor,Jyn Erso
anikinandpadme,Ezra Bridger/Sabine Wren,Ezra Bridger & Kanan Jarrus,Ezra Bridger & Hera Syndulla
TemporaryUniverse,Qui-Gon Jinn & Obi-Wan KenobiObi-Wan Kenobi,Qui-Gon Jinn,Bruck Chun (Mentioned)Emotional Hurt/Comfort
cryptid_moon,Cad Bane & Reader,Cad Bane/Obi-Wan KenobiCad Bane,ReaderReader-Insert
evanui,Introspection,nanNaboo Royal Handmaiden Characters3 Sentence Ficathon,Planet Naboo (Star Wars)
ForFangirls,Din Djarin/Luke SkywalkerGrogu ,Baby Yodanan
that_dude_alex99,CC-2224 ,Cody,Obi-Wan Kenobi
Nelltbe,Ezra Bridger/Sabine WrenEzra Bridger,Sabine Wren5 + 1 Fic,Jealous Sabine Wren
Ameera_Mae_Laramie,OrreliosZeb is sick,being sick,having a cold
LowTide1322,Anakin Skywalker & Reader,Obi-Wan Kenobi & ReaderReader,Anakin Skywalker
HamAndPineapple304,Hunter & Omega & Tech & Wrecker (Star Wars: The Bad Batch)Omega (Star Wars: The Bad Batch)Can’t find other character tags LOL,Random - Freeform,i live for the angst
Lizartgurl,Omega & Wrecker (Star Wars: The Bad Batch)Omega (Star Wars: The Bad Batch),Wrecker (Star Wars: The Bad Batch)Nightmares,Order 66 (Star Wars)
icandrawamoth,nanTycho Celchu,Rogue Squadron - Characterset early in the first X-wing book,Teaching
Silvercyclops,February Ficlet Challenge,Fluff,Tycho Celchu/Winter CelchuTycho Celchu
EMPRES5 (giudicelli),C-3PO (Star Wars)/ReaderReader,C-3PO (Star Wars),R2-D2 (Star Wars)
Rangerfan58,nannannan
DrHuggles_j,Armitage Hux/Kylo RenArmitage Hux,Kylo Ren,Phasma (Star Wars)Genderbending
morriganbia,Alpha-17/Feemor (Star Wars)Feemor (Star Wars),Alpha-17 (Star Wars)Digital Art,Meme
YaoYaoSha,Dooku ,Darth Tyranus,Dooku & Sifo-Dyas (Star Wars)
irond0rkness,Obi-Wan Kenobi & Anakin SkywalkerObi-Wan Kenobi,Anakin SkywalkerPadawan Anakin Skywalker,Young Anakin Skywalker
steampunkunicorn,Obi-Wan Kenobi/Anakin Skywalker,Anakin Skywalker & Ahsoka Tano,Qui-Gon Jinn & Obi-Wan KenobiAnakin Skywalker
geminiofpluto,CT-1409 ,CT-21-0408 ,Echo & Wrecker (Star Wars: The Bad Batch)
KyuremKing,nanLuke Skywalker,Fay (Star Wars),The Force (Star Wars)
nephilimswitchlight,CT-1409 ,ARC-5555 ,Fives
Optimistique,CT-21-0408 ,CT-1409 ,Tech (Star Wars: The Bad Batch)
epicmusic42,nanQui-Gon Jinn,Mace Windu,Original Mandalorian Characters (Star Wars)Qui-Gon Jinn is a Good Jedi Master
MinaTheSkywalker,Loneozner,Windy (Star Wars),Deak (Star Wars: Original Trilogy)nan
Maeve_of_Winter,Obi-Wan Kenobi & Anakin Skywalker,Obi-Wan Kenobi & Ahsoka Tano,Obi-Wan Kenobi & Anakin Skywalker & Ahsoka Tano
Mouseyear,Alma Madrigal,Dolores Madrigal,Luke Skywalker
LuvEwan,Qui-Gon Jinn & Obi-Wan KenobiQui-Gon Jinn,Obi-Wan KenobiOne Shot,Drama
Pily,CT-21-0408 ,CT-1409 ,Hunter & Omega (Star Wars: The Bad Batch)
PsychedelicCowgirl,CT-1409 ,Echo,CT-21-0408 
Redting,Hazel Levesque/Frank ZhangLeo Valdez,Frank Zhang(Alternate name),Hazel Levesque
ReconstructWriter,Eeth Koth/Mace Windu (Referenced)Mace Windu,Yaddle,Jocasta Nu
notyouraveragesofia,Cassian Andor/Jyn ErsoCassian Andor,One Shot,Jyn Erso
snowshus,Mon Mothma & Luthen RaelMon Mothma,Luthen Rael,Kleya Markinan
daisiechain,CC-2224 ,CT-7567 ,Rex/Original Character(s)
LadySongmaster,Fox Naasade & Clone Cadets,Fox Naasade & Kal SkirataCC-1010 ,Fox
Lena_Hills,C1-10P ,Kanan Jarrus/Hera Syndulla,Kanan Jarrus & Jacen Syndulla
eclipsed_aurelia,nanHunter (Star Wars: The Bad Batch),Wrecker (Star Wars: The Bad Batch),Omega (Star Wars: The Bad Batch)
Panic_CelestialInk,Baby Yoda,Grogu ,Din Djarin & Grogu 
itsinthestars,Rey/Ben Solo ,Kylo RenRey (Star Wars),Ben Solo 
amaroq,Maximilian Veers,Chewbacca,Han Solo
AlwaysEverlark,Rey/Ben Solo ,Kylo RenRey (Star Wars),Ben Solo 
dreaminghour,Amilyn Holdo/Leia OrganaAmilyn Holdo,Leia OrganaArguing,Established Relationship
ahsokathegray,CT-7567 ,Rex/Ahsoka Tano,Rex & Ahsoka Tano
Aristotle_410,,Din Djarin Needs a Hug,Good Parent Din Djarin
discopooltoy,Poe Dameron/FinnPoe Dameron,Finn (Star Wars)Short Story,poetry?
Garance,Poe Dameron/Armitage HuxArmitage Hux,Poe DameronFluff and Angst,Past Abuse
aundreathewriter,Obi-Wan Kenobi/Original Female Character(s)Obi-Wan Kenobi,Original Sith Character(s)Romance,Slow Burn
GuildofScribes,CC-2224 ,Cody & CT-7567 ,Rex
VenusAndVibes,CT-7567 ,Rex & Ahsoka Tano,Implied established rexanidalaCT-7567 
